Customer_ID,Name,Age,Gender,State,City,Income,Income_Group,Education,Profession,Marital_Status,Family_Size,Spending_Score,Last_Purchase_Date,Total_Transactions,Total_Spent,Recency,Frequency,Preferred_Category,Mobile_App_Usage (mins/day),Website_Activity (mins/day),Customer_Lifetime_Value,Income_Norm,Spending_Score_Norm,Recency_Norm,Frequency_Norm,Cluster
319eeb23,Wazir Modi,25,Male,Karnataka,Mysuru,214235,Low Income,Postgraduate,Homemaker,Divorced,5,76,2024-05-09,489,245967,357,12,Education,65,19,112210.84,-0.794108396424947,0.8912751052902074,1.624188726621229,-0.9624146818737636,3
b868c6c0,Wridesh Sandhu,39,Female,West Bengal,Durgapur,505885,Middle Income,Undergraduate,Business Owner,Married,6,70,2024-10-13,64,38336,237,13,Healthcare,43,49,15720.86,-0.5889293525820077,0.6829602507172946,0.5006492090359849,-0.8928217421611436,2
b07b74ce,Chatresh Kala,57,Female,Tamil Nadu,Coimbatore,906294,Middle Income,Others,Business Owner,Divorced,6,34,2024-03-15,331,238320,153,35,Travel,32,54,102623.13,-0.3072371332571064,-0.5669288767201822,-0.285828453273686,0.6382229315164948,0
f20577eb,Gavin Bhalla,33,Other,Punjab,Chandigarh,1957468,High Income,Postgraduate,Homemaker,Single,5,34,2024-09-25,315,219555,144,16,Food & Beverages,13,93,70074.67,0.4322755574082728,-0.5669288767201822,-0.3700939170925793,-0.6840429230232838,1
3c014432,Nitesh Krish,68,Female,West Bengal,Durgapur,156242,Low Income,Others,IT Professional,Married,7,8,2024-08-29,47,25333,329,14,Groceries,111,19,8207.76,-0.8349071219164045,-1.469626579869471,1.3620295058513383,-0.8232288024485237,1
005c64b2,Anita Pai,50,Female,Karnataka,Bengaluru,571009,Middle Income,Postgraduate,Government Employee,Divorced,4,72,2024-03-25,219,24747,139,44,Travel,85,68,3595.39,-0.5431138886655751,0.7523985355749322,-0.4169080636586311,1.264559388930074,3
d0960e1a,Harinakshi Nanda,18,Other,Kerala,Kochi,505988,Middle Income,Undergraduate,Government Employee,Divorced,3,12,2024-11-16,410,366950,55,45,Entertainment,100,71,88612.66,-0.5888568909275732,-1.3307500101541958,-1.2033857259683018,1.3341523286426942,0
5af6f02d,Tanmayi Divan,26,Male,West Bengal,Howrah,196905,Low Income,Diploma,IT Professional,Divorced,8,35,2024-06-17,99,83061,307,42,Technology,104,119,19412.48,-0.8063002456613542,-0.5322097342913634,1.1560472609607104,1.1253735095048345,3
89ae8415,Vinaya Chandra,19,Other,Gujarat,Surat,180008,Low Income,Postgraduate,Government Employee,Married,1,48,2023-12-28,237,41001,356,32,Groceries,4,49,11374.7,-0.8181874745446531,-0.080860882716719,1.6148258973080185,0.429444112378635,3
714f5ed4,Vivaan Johal,68,Female,Gujarat,Surat,4876702,High Income,Diploma,Student,Married,2,19,2024-10-02,209,149226,109,46,Groceries,118,40,16151.88,2.4859893954806163,-1.087716013152464,-0.6977929430549421,1.403745268355314,4
4f2a7996,Frado Oommen,56,Other,Rajasthan,Jaipur,139726,Low Income,Postgraduate,Student,Married,3,74,2023-12-15,289,100861,155,2,Luxury Goods,91,2,15726.66,-0.8465263130294166,0.8218368204325698,-0.2671027946472653,-1.6583440789999628,2
82c25b26,Vinaya Saha,31,Female,Rajasthan,Jaipur,180294,Low Income,Others,Homemaker,Single,1,68,2024-04-07,203,201376,49,17,Technology,72,119,43845.68,-0.817986270339136,0.613521965859657,-1.259562701847564,-0.6144499833106639,2
11488bad,Unnati Thakur,52,Female,Karnataka,Bengaluru,730246,Middle Income,Postgraduate,IT Professional,Divorced,7,20,2023-11-21,40,25560,208,17,Healthcare,21,109,6323.52,-0.4310888744210419,-1.0529968707236457,0.2291271589528841,-0.6144499833106639,1
312a633e,Forum Kara,31,Other,Maharashtra,Pune,568415,Middle Income,Diploma,Student,Married,2,98,2024-10-03,85,26180,307,34,Education,88,67,6080.34,-0.5449387967393916,1.655096238724221,1.1560472609607104,0.5686299918038749,3
cd2f9eca,Caleb Parikh,37,Male,Delhi NCR,Ghaziabad,299352,Low Income,Diploma,Government Employee,Single,8,77,2023-11-19,335,193630,33,19,Healthcare,42,114,56843.48,-0.7342276329249317,0.9259942477190262,-1.40936797085893,-0.475264103885424,2
ce7eea8c,Reva Kota,63,Male,Uttar Pradesh,Lucknow,935492,Middle Income,Postgraduate,Homemaker,Divorced,6,28,2023-12-06,489,367728,218,44,Entertainment,31,72,47580.38,-0.2866960130029451,-0.775243731293095,0.3227554520849878,1.264559388930074,0
