Customer_ID,Name,Age,Gender,State,City,Income,Income_Group,Education,Profession,Marital_Status,Family_Size,Spending_Score,Last_Purchase_Date,Total_Transactions,Total_Spent,Recency,Frequency,Preferred_Category,Mobile_App_Usage (mins/day),Website_Activity (mins/day),Customer_Lifetime_Value
319eeb23,Wazir Modi,25,Male,Karnataka,Mysuru,214235,Low Income,Postgraduate,Homemaker,Divorced,5,76,2024-05-09,489,245967,357,12,Education,65,19,112210.84
b868c6c0,Wridesh Sandhu,39,Female,West Bengal,Durgapur,505885,Middle Income,Undergraduate,Business Owner,Married,6,70,2024-10-13,64,38336,237,13,Healthcare,43,49,15720.86
b07b74ce,Chatresh Kala,57,Female,Tamil Nadu,Coimbatore,906294,Middle Income,Others,Business Owner,Divorced,6,34,2024-03-15,331,238320,153,35,Travel,32,54,102623.13
f20577eb,Gavin Bhalla,33,Other,Punjab,Chandigarh,1957468,High Income,Postgraduate,Homemaker,Single,5,34,2024-09-25,315,219555,144,16,Food & Beverages,13,93,70074.67
3c014432,Nitesh Krish,68,Female,West Bengal,Durgapur,156242,Low Income,Others,IT Professional,Married,7,8,2024-08-29,47,25333,329,14,Groceries,111,19,8207.76
005c64b2,Anita Pai,50,Female,Karnataka,Bengaluru,571009,Middle Income,Postgraduate,Government Employee,Divorced,4,72,2024-03-25,219,24747,139,44,Travel,85,68,3595.39
d0960e1a,Harinakshi Nanda,18,Other,Kerala,Kochi,505988,Middle Income,Undergraduate,Government Employee,Divorced,3,12,2024-11-16,410,366950,55,45,Entertainment,100,71,88612.66
5af6f02d,Tanmayi Divan,26,Male,West Bengal,Howrah,196905,Low Income,Diploma,IT Professional,Divorced,8,35,2024-06-17,99,83061,307,42,Technology,104,119,19412.48
89ae8415,Vinaya Chandra,19,Other,Gujarat,Surat,180008,Low Income,Postgraduate,Government Employee,Married,1,48,2023-12-28,237,41001,356,32,Groceries,4,49,11374.7
714f5ed4,Vivaan Johal,68,Female,Gujarat,Surat,4876702,High Income,Diploma,Student,Married,2,19,2024-10-02,209,149226,109,46,Groceries,118,40,16151.88
4f2a7996,Frado Oommen,56,Other,Rajasthan,Jaipur,139726,Low Income,Postgraduate,Student,Married,3,74,2023-12-15,289,100861,155,2,Luxury Goods,91,2,15726.66
82c25b26,Vinaya Saha,31,Female,Rajasthan,Jaipur,180294,Low Income,Others,Homemaker,Single,1,68,2024-04-07,203,201376,49,17,Technology,72,119,43845.68
11488bad,Unnati Thakur,52,Female,Karnataka,Bengaluru,730246,Middle Income,Postgraduate,IT Professional,Divorced,7,20,2023-11-21,40,25560,208,17,Healthcare,21,109,6323.52
312a633e,Forum Kara,31,Other,Maharashtra,Pune,568415,Middle Income,Diploma,Student,Married,2,98,2024-10-03,85,26180,307,34,Education,88,67,6080.34
cd2f9eca,Caleb Parikh,37,Male,Delhi NCR,Ghaziabad,299352,Low Income,Diploma,Government Employee,Single,8,77,2023-11-19,335,193630,33,19,Healthcare,42,114,56843.48
ce7eea8c,Reva Kota,63,Male,Uttar Pradesh,Lucknow,935492,Middle Income,Postgraduate,Homemaker,Divorced,6,28,2023-12-06,489,367728,218,44,Entertainment,31,72,47580.38
975eaa13,Warhi Lanka,47,Female,Tamil Nadu,Trichy,1460514,High Income,Others,Business Owner,Single,6,57,2024-04-02,213,120345,150,33,Healthcare,80,84,25083.42
1327c648,Anya Sarna,40,Male,Kerala,Kozhikode,865449,Middle Income,Postgraduate,Business Owner,Single,7,17,2024-07-06,28,23380,304,6,Technology,22,112,11539.5
c6069592,Divya Dube,19,Other,Karnataka,Bengaluru,4388635,High Income,Postgraduate,Homemaker,Single,4,26,2024-05-05,484,48400,168,3,Technology,67,91,18698.23
665a19ab,Simon Ranganathan,27,Other,West Bengal,Howrah,1163276,Middle Income,Undergraduate,Homemaker,Single,7,86,2024-09-03,95,26790,257,32,Travel,105,118,11386.71
2dcfb3de,Laban Gandhi,66,Female,Kerala,Kozhikode,236924,Low Income,Others,Student,Married,7,25,2024-04-25,135,19170,146,12,Travel,13,57,5388.78
0fa4f792,Yashasvi Kuruvilla,55,Male,Gujarat,Ahmedabad,239401,Low Income,Diploma,Business Owner,Divorced,1,55,2024-04-11,455,72345,168,20,Technology,26,45,21349.77
bcbc4eeb,Abha Brahmbhatt,27,Male,Uttar Pradesh,Agra,677386,Middle Income,Others,Business Owner,Divorced,4,44,2024-10-18,391,251804,129,44,Technology,94,6,36260.73
dc33dd0b,Owen Vig,70,Male,Delhi NCR,Ghaziabad,167965,Low Income,Undergraduate,Business Owner,Single,3,21,2024-11-08,386,255532,179,43,Travel,5,91,69800.64
0db20ed8,Aadhya Narayanan,45,Female,Punjab,Amritsar,139956,Low Income,Others,Student,Married,8,46,2024-10-09,3,1377,341,20,Luxury Goods,29,43,386.74
a0ae8b88,Oviya Mangat,51,Female,Kerala,Kochi,765294,Middle Income,Others,Business Owner,Married,2,6,2024-01-12,352,349536,200,13,Clothing,100,105,133098.32
d5ca3a23,Zaid Chaudhry,22,Other,Rajasthan,Udaipur,4461079,High Income,Others,Business Owner,Married,1,56,2024-05-16,220,216700,43,4,Education,56,5,43151.79
7bfff82e,Anika Pau,28,Other,Uttar Pradesh,Lucknow,193947,Low Income,Others,IT Professional,Single,3,86,2024-10-19,281,192766,22,6,Food & Beverages,50,82,57858.32
dcdfab20,Vyanjana Chad,43,Male,West Bengal,Howrah,3791962,High Income,Undergraduate,IT Professional,Married,6,18,2024-03-29,388,161020,31,19,Travel,114,97,69903.92
bd832264,Advik Garg,23,Other,Tamil Nadu,Madurai,172714,Low Income,Diploma,IT Professional,Divorced,8,52,2024-03-02,143,39182,361,22,Groceries,15,67,15817.54
dce40472,Idika Purohit,50,Male,Maharashtra,Nagpur,764695,Middle Income,Diploma,IT Professional,Single,1,84,2024-11-07,418,153406,22,38,Healthcare,113,38,19083.9
a6c95457,Darika Choudhury,21,Female,Gujarat,Surat,157847,Low Income,Postgraduate,Business Owner,Single,6,56,2024-04-16,474,337962,27,44,Electronics,114,51,118946.4
42f34e15,Ishaan Sharaf,51,Male,Tamil Nadu,Madurai,1147555,Middle Income,Diploma,Homemaker,Married,4,30,2024-03-26,212,73776,324,46,Groceries,82,89,33703.6
