Customer_ID,Name,Age,Gender,State,City,Income,Income_Group,Education,Profession,Marital_Status,Family_Size,Spending_Score,Last_Purchase_Date,Total_Transactions,Total_Spent,Recency,Frequency,Preferred_Category,Mobile_App_Usage (mins/day),Website_Activity (mins/day),Customer_Lifetime_Value,Income_Norm,Spending_Score_Norm,Recency_Norm,Frequency_Norm
319eeb23,Wazir Modi,25,Male,Karnataka,Mysuru,214235,Low Income,Postgraduate,Homemaker,Divorced,5,76,5/9/2024,489,245967,357,12,Education,65,19,112210.84,-0.794108396,0.891275105,1.624188727,-0.962414682
b868c6c0,Wridesh Sandhu,39,Female,West Bengal,Durgapur,505885,Middle Income,Undergraduate,Business Owner,Married,6,70,10/13/2024,64,38336,237,13,Healthcare,43,49,15720.86,-0.588929353,0.682960251,0.500649209,-0.892821742
b07b74ce,Chatresh Kala,57,Female,Tamil Nadu,Coimbatore,906294,Middle Income,Others,Business Owner,Divorced,6,34,3/15/2024,331,238320,153,35,Travel,32,54,102623.13,-0.307237133,-0.566928877,-0.285828453,0.638222932
f20577eb,Gavin Bhalla,33,Other,Punjab,Chandigarh,1957468,High Income,Postgraduate,Homemaker,Single,5,34,9/25/2024,315,219555,144,16,Food & Beverages,13,93,70074.67,0.432275557,-0.566928877,-0.370093917,-0.684042923
3c014432,Nitesh Krish,68,Female,West Bengal,Durgapur,156242,Low Income,Others,IT Professional,Married,7,8,8/29/2024,47,25333,329,14,Groceries,111,19,8207.76,-0.834907122,-1.46962658,1.362029506,-0.823228802
005c64b2,Anita Pai,50,Female,Karnataka,Bengaluru,571009,Middle Income,Postgraduate,Government Employee,Divorced,4,72,3/25/2024,219,24747,139,44,Travel,85,68,3595.39,-0.543113889,0.752398536,-0.416908064,1.264559389
d0960e1a,Harinakshi Nanda,18,Other,Kerala,Kochi,505988,Middle Income,Undergraduate,Government Employee,Divorced,3,12,11/16/2024,410,366950,55,45,Entertainment,100,71,88612.66,-0.588856891,-1.33075001,-1.203385726,1.334152329
5af6f02d,Tanmayi Divan,26,Male,West Bengal,Howrah,196905,Low Income,Diploma,IT Professional,Divorced,8,35,6/17/2024,99,83061,307,42,Technology,104,119,19412.48,-0.806300246,-0.532209734,1.156047261,1.12537351
89ae8415,Vinaya Chandra,19,Other,Gujarat,Surat,180008,Low Income,Postgraduate,Government Employee,Married,1,48,12/28/2023,237,41001,356,32,Groceries,4,49,11374.7,-0.818187475,-0.080860883,1.614825897,0.429444112
714f5ed4,Vivaan Johal,68,Female,Gujarat,Surat,4876702,High Income,Diploma,Student,Married,2,19,10/2/2024,209,149226,109,46,Groceries,118,40,16151.88,2.485989395,-1.087716013,-0.697792943,1.403745268
4f2a7996,Frado Oommen,56,Other,Rajasthan,Jaipur,139726,Low Income,Postgraduate,Student,Married,3,74,12/15/2023,289,100861,155,2,Luxury Goods,91,2,15726.66,-0.846526313,0.82183682,-0.267102795,-1.658344079
82c25b26,Vinaya Saha,31,Female,Rajasthan,Jaipur,180294,Low Income,Others,Homemaker,Single,1,68,4/7/2024,203,201376,49,17,Technology,72,119,43845.68,-0.81798627,0.613521966,-1.259562702,-0.614449983
11488bad,Unnati Thakur,52,Female,Karnataka,Bengaluru,730246,Middle Income,Postgraduate,IT Professional,Divorced,7,20,11/21/2023,40,25560,208,17,Healthcare,21,109,6323.52,-0.431088874,-1.052996871,0.229127159,-0.614449983
312a633e,Forum Kara,31,Other,Maharashtra,Pune,568415,Middle Income,Diploma,Student,Married,2,98,10/3/2024,85,26180,307,34,Education,88,67,6080.34,-0.544938797,1.655096239,1.156047261,0.568629992
cd2f9eca,Caleb Parikh,37,Male,Delhi NCR,Ghaziabad,299352,Low Income,Diploma,Government Employee,Single,8,77,11/19/2023,335,193630,33,19,Healthcare,42,114,56843.48,-0.734227633,0.925994248,-1.409367971,-0.475264104
ce7eea8c,Reva Kota,63,Male,Uttar Pradesh,Lucknow,935492,Middle Income,Postgraduate,Homemaker,Divorced,6,28,12/6/2023,489,367728,218,44,Entertainment,31,72,47580.38,-0.286696013,-0.775243731,0.322755452,1.264559389
975eaa13,Warhi Lanka,47,Female,Tamil Nadu,Trichy,1460514,High Income,Others,Business Owner,Single,6,57,4/2/2024,213,120345,150,33,Healthcare,80,84,25083.42,0.082662848,0.231611399,-0.313916941,0.499037052
1327c648,Anya Sarna,40,Male,Kerala,Kozhikode,865449,Middle Income,Postgraduate,Business Owner,Single,7,17,7/6/2024,28,23380,304,6,Technology,22,112,11539.5,-0.335972049,-1.157154298,1.127958773,-1.37997232
c6069592,Divya Dube,19,Other,Karnataka,Bengaluru,4388635,High Income,Postgraduate,Homemaker,Single,4,26,5/5/2024,484,48400,168,3,Technology,67,91,18698.23,2.142628791,-0.844682016,-0.145386014,-1.588751139
665a19ab,Simon Ranganathan,27,Other,West Bengal,Howrah,1163276,Middle Income,Undergraduate,Homemaker,Single,7,86,9/3/2024,95,26790,257,32,Travel,105,118,11386.71,-0.126447416,1.23846653,0.687905795,0.429444112
2dcfb3de,Laban Gandhi,66,Female,Kerala,Kozhikode,236924,Low Income,Others,Student,Married,7,25,4/25/2024,135,19170,146,12,Travel,13,57,5388.78,-0.778146431,-0.879401159,-0.351368258,-0.962414682
0fa4f792,Yashasvi Kuruvilla,55,Male,Gujarat,Ahmedabad,239401,Low Income,Diploma,Business Owner,Divorced,1,55,4/11/2024,455,72345,168,20,Technology,26,45,21349.77,-0.776403833,0.162173114,-0.145386014,-0.405671164
bcbc4eeb,Abha Brahmbhatt,27,Male,Uttar Pradesh,Agra,677386,Middle Income,Others,Business Owner,Divorced,4,44,10/18/2024,391,251804,129,44,Technology,94,6,36260.73,-0.468276477,-0.219737452,-0.510536357,1.264559389
dc33dd0b,Owen Vig,70,Male,Delhi NCR,Ghaziabad,167965,Low Income,Undergraduate,Business Owner,Single,3,21,11/8/2024,386,255532,179,43,Travel,5,91,69800.64,-0.82665986,-1.018277728,-0.042394891,1.194966449
0db20ed8,Aadhya Narayanan,45,Female,Punjab,Amritsar,139956,Low Income,Others,Student,Married,8,46,10/9/2024,3,1377,341,20,Luxury Goods,29,43,386.74,-0.846364505,-0.150299168,1.474383458,-0.405671164
a0ae8b88,Oviya Mangat,51,Female,Kerala,Kochi,765294,Middle Income,Others,Business Owner,Married,2,6,1/12/2024,352,349536,200,13,Clothing,100,105,133098.32,-0.406432214,-1.539064865,0.154224524,-0.892821742
d5ca3a23,Zaid Chaudhry,22,Other,Rajasthan,Udaipur,4461079,High Income,Others,Business Owner,Married,1,56,5/16/2024,220,216700,43,4,Education,56,5,43151.79,2.193593957,0.196892257,-1.315739678,-1.5191582
7bfff82e,Anika Pau,28,Other,Uttar Pradesh,Lucknow,193947,Low Income,Others,IT Professional,Single,3,86,10/19/2024,281,192766,22,6,Food & Beverages,50,82,57858.32,-0.808381232,1.23846653,-1.512359093,-1.37997232
dcdfab20,Vyanjana Chad,43,Male,West Bengal,Howrah,3791962,High Income,Undergraduate,IT Professional,Married,6,18,3/29/2024,388,161020,31,19,Travel,114,97,69903.92,1.722862648,-1.122435156,-1.428093629,-0.475264104
bd832264,Advik Garg,23,Other,Tamil Nadu,Madurai,172714,Low Income,Diploma,IT Professional,Divorced,8,52,3/2/2024,143,39182,361,22,Groceries,15,67,15817.54,-0.823318885,0.058015687,1.661640044,-0.266485285
dce40472,Idika Purohit,50,Male,Maharashtra,Nagpur,764695,Middle Income,Diploma,IT Professional,Single,1,84,11/7/2024,418,153406,22,38,Healthcare,113,38,19083.9,-0.406853617,1.169028245,-1.512359093,0.847001751
